//,"Open/save this file as a standard CSV  <=>  comma (,) separated and double quotes ("") as text delimiter.",,,,,,,,,,,,,
//,You can safely insert commas or double quotes into data fields.,,,,,,,,,,,,,
//,"EXCEPTION: Don't insert a comma right after a double quote, since this terminates the field.",,,,,,,,,,,,,
//,"When editing with OO.org Calc, use the single quote (') for three-number-dates to circumvent automatic conversion.",,,,,,,,,,,,,
//,,,,,,,,,,,,,,
//!,gnuclad parses this correctly no matter in what order the nodes are. You can swap any lines.,,,,,,,,,,,,,
//!,,,,,,,,,,,,,,
//!,"Empty lines get ignored, the first column controls the rest of the line:",,,,,,,,,,,,,
//!,"# = comment, N = node, C = connector, D = domain",,,,,,,,,,,,,
//!,"SVG = SVG image to include, PNG = PNG image to include",,,,,,,,,,,,,
//!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#,Nodes,,,,,,,,,,,,,
#,Name,Color,Parent,Start,Stop,Icon,Description,[Namechange,When,Description,[Namechange,When,Description,. . . ]]
N,Mejiro Dober (JPN),#E515A8,Mejiro Ryan (JPN),1994.5,,,,,,,,,,
N,Dyna Sash (JPN),#E991CF,Northern Taste (USA),1979.3,1988.4,,,,,,,,,
N,Aswan (JPN),#A5D8EF,Northern Taste (USA),1979.5,1985.3,,,,,,,,,
N,Mejiro Ardan (JPN),#1548E5,Aswan (JPN),1985.3,2002.6,,,,,,,,,
N,Dyna Landing (JPN),#E991CF,Northern Taste (USA),1980.3,1987.4,,,,,,,,,
N,Dyna Carle (JPN),#E991CF,Northern Taste (USA),1980.5,1993.6,,,,,,,,,
N,Sakura Hagoromo (JPN),#E991CF,Northern Taste (USA),1984.4,1989.4,,,,,,,,,
N,Sawayaka Princess (JPN),#E991CF,Northern Taste (USA),1986.6,1999.5,,,,,,,,,
N,Scarlet Bouquet (JPN),#E991CF,Northern Taste (USA),1988.4,2004.5,,,,,,,,,
N,Matikanetannhauser (JPN),#1548E5,Northern Taste (USA),1989.5,2013.12,,,,,,,,,
N,Admire McArdy(JPN),#E991CF,Northern Taste (USA),1991.6,1996.4,,,,,,,,,
N,Every Whisper (JPN),#E991CF,Northern Taste (USA),1997.3,2006.4,,,,,,,,,
N,Try My Best (USA),#A5D8EF,Northern Dancer (CAN),1975.4,1993.1,,,,,,,,,
N,Last Tycoon (IRE),#A5D8EF,Try My Best (USA),1983.5,2006.5,,,,,,,,,
N,Bigstone (IRE),#A5D8EF,Last Tycoon (IRE),1990.2,2002.1,,,,,,,,,
N,Meisho Doto (IRE),#1548E5,Bigstone (IRE),1996.3,,,,,,,,,,
N,Danzig (USA),#A5D8EF,Northern Dancer (CAN),1977.2,2006.1,,,,,,,,,
N,Chief`s Crown (USA),#A5D8EF,Danzig (USA),1982.4,1997.4,,,,,,,,,
N,Chancey Squaw (USA),#E991CF,Chief`s Crown (USA),1991.1,1997.5,,,,,,,,,
N,Duplicit (USA),#E991CF,Danzig (USA),1985.5,1989.4,,,,,,,,,
N,Danehill (USA),#A5D8EF,Danzig (USA),1986.3,2003.5,,,,,,,,,
N,Fine Motion (IRE),#E515A8,Danehill (USA),1999.1,,,,,,,,,,
N,Danzig`s Beauty (USA),#E991CF,Danzig (USA),1987.1,1993.3,,,,,,,,,
N,Great Christine (USA),#E991CF,Danzig (USA),1987.4,1998.4,,,,,,,,,
N,Ameriflora (USA),#E991CF,Danzig (USA),1989.1,1995.2,,,,,,,,,
N,Biko Pegasus (USA),#1548E5,Danzig (USA),1991.2,2019.6,,,,,,,,,
N,All Dance (USA),#E991CF,Northern Dancer (CAN),1978.4,1997.3,,,,,,,,,
N,Storm Bird (CAN),#A5D8EF,Northern Dancer (CAN),1978.4,2004.12,,,,,,,,,
N,Summer Squall (USA),#A5D8EF,Storm Bird (CAN),1987.3,2009.9,,,,,,,,,
N,Charismatic (USA),#A5D8EF,Summer Squall (USA),1996.3,2017.2,,,,,,,,,
N,Wonder Acute (JPN),#1548E5,Charismatic (USA),2006.3,,,,,,,,,,
N,Sadler`s Wells (USA),#A5D8EF,Northern Dancer (CAN),1981.4,2011.4,,,,,,,,,
N,Opera House (GB),#A5D8EF,Sadler`s Wells (USA),1988.2,2016.4,,,,,,,,,
N,T.M. Opera O (JPN),#1548E5,Opera House (GB),1996.3,2018.5,,,,,,,,,
N,Pacificus (USA),#E991CF,Northern Dancer (CAN),1981.5,1991.5,,,,,,,,,
N,Tesco Boy (GB),#A5D8EF,,1963.1,1979.3,,,date deceased not found,1973.4,,,,,
N,Tosho Boy (JPN),#A5D8EF,Tesco Boy (GB),1973.4,1992.9,,,,,,,,,
N,Mr. C.B. (JPN),#1548E5,Tosho Boy (JPN),1980.4,2000.12,,,,,,,,,
N,Samantha Tosho(JPN),#E991CF,Tosho Boy (JPN),1985.4,1993.3,,,,,,,,,
N,Italian City (JPN),#E991CF,Tesco Boy (GB),1979.3,1984.4,,,,,,,,,
N,Dictus (FRA),#A5D8EF,,1967.4,1988.4,,,,,,,,,
N,Soccer Boy (JPN),#A5D8EF,Dictus (FRA),1985.4,2011.1,,,,,,,,,
N,Narita Top Road (JPN),#1548E5,Soccer Boy (JPN),1996.4,2005.11,,,,,,,,,
N,Hishi Miracle (JPN),#1548E5,Soccer Boy (JPN),1999.3,,,,,,,,,,
